FID,LAD19CD,LAD19NM,PHEC19CD,PHEC19CDH,PHEC19NM,PHEREG19CD,PHEREG19CDH,PHEREG19NM
150,E07000197,Stafford,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
151,E07000198,Staffordshire Moorlands,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
152,E07000199,Tamworth,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
153,E07000218,North Warwickshire,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
154,E07000219,Nuneaton and Bedworth,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
155,E07000220,Rugby,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
156,E07000221,Stratford-on-Avon,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
157,E07000222,Warwick,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
158,E08000024,Sunderland,E45000009,X25003AE,North East,E46000003,X25003,North of England
159,E07000234,Bromsgrove,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
160,E07000235,Malvern Hills,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
161,E07000236,Redditch,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
162,E07000179,South Oxfordshire,E45000019,X25004AH,South East,E46000004,X25004,South of England
163,E07000180,Vale of White Horse,E45000019,X25004AH,South East,E46000004,X25004,South of England
164,E07000181,West Oxfordshire,E45000019,X25004AH,South East,E46000004,X25004,South of England
165,E07000207,Elmbridge,E45000019,X25004AH,South East,E46000004,X25004,South of England
166,E07000208,Epsom and Ewell,E45000019,X25004AH,South East,E46000004,X25004,South of England
167,E07000209,Guildford,E45000019,X25004AH,South East,E46000004,X25004,South of England
168,E07000210,Mole Valley,E45000019,X25004AH,South East,E46000004,X25004,South of England
169,E07000211,Reigate and Banstead,E45000019,X25004AH,South East,E46000004,X25004,South of England
170,E07000212,Runnymede,E45000019,X25004AH,South East,E46000004,X25004,South of England
171,E07000213,Spelthorne,E45000019,X25004AH,South East,E46000004,X25004,South of England
172,E07000214,Surrey Heath,E45000019,X25004AH,South East,E46000004,X25004,South of England
173,E07000215,Tandridge,E45000019,X25004AH,South East,E46000004,X25004,South of England
174,E07000216,Waverley,E45000019,X25004AH,South East,E46000004,X25004,South of England
175,E07000217,Woking,E45000019,X25004AH,South East,E46000004,X25004,South of England
